simulation,block_length,cagr,maxdd,terminal_wealth_multiple,final_capital,hit_cagr_target,hit_drawdown_limit,hit_both,severe_drawdown
4758,6,0.1063630702959999,-0.10730815322139242,6.065153505975411,60651.53505975411,True,True,True,False
4759,6,0.18805413810806293,-0.11300451191702254,21.60625308534123,216062.5308534123,True,True,True,False
4760,6,0.19046335578390394,-0.11580328549115193,22.401094203123222,224010.94203123223,True,True,True,False
4761,6,0.18340679999058707,-0.0811195062440323,20.147635168529128,201476.35168529127,True,True,True,False
4762,6,0.10722158756155653,-0.19396695252673446,6.149635565631371,61496.35565631371,True,False,False,False
4763,6,0.11368595543661297,-0.12813169409369907,6.8223749015415125,68223.74901541513,True,True,True,False
4764,6,0.13054714971122872,-0.08895193918574451,8.91897163410074,89189.71634100741,True,True,True,False
4765,6,0.1301012880640251,-0.1182749355244368,8.856451804658054,88564.51804658053,True,True,True,False
4766,6,0.10824479938078246,-0.0920762406864244,6.25177517972547,62517.75179725471,True,True,True,False
4767,6,0.0909919527130516,-0.12692149479865833,4.7258970677323795,47258.97067732379,True,True,True,False
4768,6,0.10466600823597472,-0.17694297870885367,5.901367546113687,59013.675461136874,True,False,False,False
4769,6,0.10425782228017977,-0.13150159082178137,5.862600553107959,58626.00553107959,True,True,True,False
4770,6,0.12710916367821845,-0.11647773453757171,8.447469962149691,84474.69962149691,True,True,True,False
4771,6,0.13727254083794205,-0.09294857752230867,9.914052199907713,99140.52199907713,True,True,True,False
4772,6,0.13857685549679966,-0.08556607775999547,10.118790403321583,101187.90403321583,True,True,True,False
4773,6,0.07273163157057372,-0.19994105619167946,3.497499934689368,34974.99934689368,True,False,False,False
4774,6,0.10694273878537919,-0.12465260944377188,6.1220745143389275,61220.74514338927,True,True,True,False
4775,6,0.12131857396327494,-0.1729269541443922,7.706090753499382,77060.90753499382,True,False,False,False
4776,6,0.13607675442796086,-0.11274005123961806,9.72979106826589,97297.9106826589,True,True,True,False
4777,6,0.14115423478355438,-0.1247896719636582,10.535152861002452,105351.52861002451,True,True,True,False
4778,6,0.10978503805395778,-0.1311827639843438,6.408549848588686,64085.49848588686,True,True,True,False
4779,6,0.12401284152225123,-0.09605293528132097,8.043054921832828,80430.54921832829,True,True,True,False
4780,6,0.12829414798131356,-0.15916975050490723,8.607261259141994,86072.61259141994,True,False,False,False
4781,6,0.08697747993534422,-0.1496864648485543,4.425201777715439,44252.01777715439,True,True,True,False
4782,6,0.09093042349281943,-0.15983045802366358,4.721146226559533,47211.46226559533,True,False,False,False
4783,6,0.08345034492510917,-0.1039133948128299,4.176002184323104,41760.021843231036,True,True,True,False
4784,6,0.1393295518911759,-0.12372965250460288,10.238750495754614,102387.50495754615,True,True,True,False
4785,6,0.12162108484476675,-0.15085090317828787,7.743249841903246,77432.49841903246,True,False,False,False
4786,6,0.12232143515262783,-0.202936317770692,7.829927843804338,78299.27843804337,True,False,False,True
4787,6,0.11757658151513728,-0.13695821202700864,7.260140961628033,72601.40961628033,True,True,True,False
4788,6,0.07723640330876047,-0.1302148554910304,3.7688878245012867,37688.878245012864,True,True,True,False
4789,6,0.1546670071898446,-0.14790288928480433,12.996073570556954,129960.73570556953,True,True,True,False
4790,6,0.09071595875791649,-0.1263288389548095,4.704622029197657,47046.22029197657,True,True,True,False
4791,6,0.1347350068275126,-0.08835980520464759,9.526888473732079,95268.88473732078,True,True,True,False
4792,6,0.08880779315790344,-0.13797564343942026,4.559985223849614,45599.85223849614,True,True,True,False
4793,6,0.11644618755237013,-0.1103412225297199,7.130292476709356,71302.92476709356,True,True,True,False
4794,6,0.10409310919348114,-0.10143959048404183,5.847025293021764,58470.25293021763,True,True,True,False
4795,6,0.09911869836409504,-0.13869861278461293,5.394633757938214,53946.33757938214,True,True,True,False
4796,6,0.10228180324646763,-0.11292593329554246,5.678304938726103,56783.04938726103,True,True,True,False
4797,6,0.10887378758864741,-0.09879767663734695,6.315354887012711,63153.54887012712,True,True,True,False
4798,6,0.127368908040973,-0.1107554510439881,8.482254153733296,84822.54153733296,True,True,True,False
4799,6,0.18587186304399395,-0.06638041771184511,20.909331028776673,209093.31028776674,True,True,True,False
4800,6,0.13338816809132203,-0.09336297966631368,9.32723737305823,93272.3737305823,True,True,True,False
4801,6,0.15726825276099232,-0.1419530388640492,13.528210987291843,135282.10987291843,True,True,True,False
4802,6,0.09402059262189111,-0.2369135901584125,4.965405169185062,49654.05169185062,True,False,False,True
4803,6,0.11042211719336459,-0.1551613117577022,6.474474289561556,64744.742895615556,True,False,False,False
4804,6,0.14261549690517272,-0.08513560862198788,10.778342026113668,107783.42026113668,True,True,True,False
4805,6,0.1176369312018295,-0.10407067227490507,7.267135719849497,72671.35719849497,True,True,True,False
4806,6,0.12362525600558705,-0.09384033430538385,7.993738693144199,79937.386931442,True,True,True,False
4807,6,0.10280622140830609,-0.12268568161938331,5.726674956705681,57266.74956705681,True,True,True,False
4808,6,0.10287154010266852,-0.1782577712562441,5.732726830526296,57327.26830526296,True,False,False,False
4809,6,0.07801657167999321,-0.1052451750915957,3.817862593626568,38178.625936265686,True,True,True,False
4810,6,0.15354836628316737,-0.17641001391212385,12.773362894133427,127733.62894133427,True,False,False,False
4811,6,0.10964901742068633,-0.1394053780681862,6.394556866857623,63945.56866857623,True,True,True,False
4812,6,0.1331791104591855,-0.11647773453757149,9.29660371879137,92966.03718791371,True,True,True,False
4813,6,0.08727177122637753,-0.16261386462509464,4.4466164979447464,44466.164979447465,True,False,False,False
4814,6,0.16810138864463608,-0.07880391049765767,15.973605972697495,159736.05972697496,True,True,True,False
4815,6,0.11001790714789839,-0.14949543624423955,6.432573137141858,64325.73137141859,True,True,True,False
4816,6,0.12300150616252559,-0.14100387512833645,7.914971840784896,79149.71840784897,True,True,True,False
4817,6,0.09078704318813524,-0.16225273057546474,4.710092923518865,47100.929235188654,True,False,False,False
4818,6,0.12606104586892686,-0.12864696582802915,8.308472282288996,83084.72282288996,True,True,True,False
4819,6,0.0906508665302328,-0.1667575974716342,4.6996175763338215,46996.175763338215,True,False,False,False
4820,6,0.15778483260454146,-0.10453528417287339,13.636306768380717,136363.06768380717,True,True,True,False
4821,6,0.12994212010761852,-0.16340335606101808,8.834233249691618,88342.33249691618,True,False,False,False
4822,6,0.11142307712672261,-0.16181371984735515,6.579347311697275,65793.47311697276,True,False,False,False
4823,6,0.11706233331077831,-0.12593520000547576,7.200794897285634,72007.94897285635,True,True,True,False
4824,6,0.10402778142908087,-0.13249361331026277,5.8408587277844415,58408.58727784442,True,True,True,False
4825,6,0.09287600995877554,-0.12375411903319555,4.873574252104978,48735.74252104978,True,True,True,False
4826,6,0.1263373419726359,-0.11847473235497252,8.344902657942782,83449.02657942782,True,True,True,False
4827,6,0.12699298742906007,-0.10268797941208807,8.431955603549135,84319.55603549135,True,True,True,False
4828,6,0.11216463647095698,-0.16715762679773194,6.658074087095702,66580.74087095702,True,False,False,False
